run,speedup,relative_error
216,1.39404,8.50657e-06
217,1.3781,8.50657e-06
218,1.39031,8.50657e-06
219,1.39087,8.50657e-06
220,1.39186,8.50657e-06
221,1.38796,8.50657e-06
222,1.38619,8.50657e-06
223,1.38967,8.50657e-06
224,1.3919,8.50657e-06
225,1.39184,8.50657e-06
226,1.38648,8.50657e-06
227,1.38968,8.50657e-06
228,1.38829,8.50657e-06
229,1.39082,8.50657e-06
230,1.38653,8.50657e-06
231,1.38356,8.50657e-06
232,1.39411,8.50657e-06
233,1.39187,8.50657e-06
234,1.39071,8.50657e-06
235,1.39229,8.50657e-06
236,1.38919,8.50657e-06
237,1.38819,8.50657e-06
238,1.38738,8.50657e-06
239,1.39014,8.50657e-06
240,1.39215,8.50657e-06
241,1.40312,8.50657e-06
242,1.37134,8.50657e-06
243,1.38577,8.50657e-06
244,1.39021,8.50657e-06
245,1.39313,8.50657e-06
246,1.38752,8.50657e-06
247,1.39109,8.50657e-06
248,1.40343,8.50657e-06
249,1.39116,8.50657e-06
250,1.38972,8.50657e-06
251,1.38583,8.50657e-06
252,1.39138,8.50657e-06
253,1.39137,8.50657e-06
254,1.39289,8.50657e-06
255,1.37757,8.50657e-06
256,1.3865,8.50657e-06
257,1.39296,8.50657e-06
258,1.39057,8.50657e-06
259,1.39297,8.50657e-06
260,1.3892,8.50657e-06
261,1.38919,8.50657e-06
262,1.38945,8.50657e-06
263,1.38774,8.50657e-06
264,1.38658,8.50657e-06
265,1.38721,8.50657e-06
266,1.38991,8.50657e-06
267,1.3866,8.50657e-06
268,1.38732,8.50657e-06
269,1.38804,8.50657e-06
270,1.37915,8.50657e-06
271,1.39451,8.50657e-06
272,1.38933,8.50657e-06
273,1.38822,8.50657e-06
274,1.38947,8.50657e-06
275,1.39106,8.50657e-06
276,1.39157,8.50657e-06
277,1.3856,8.50657e-06
278,1.38591,8.50657e-06
279,1.39181,8.50657e-06
280,1.39332,8.50657e-06
281,1.39317,8.50657e-06
282,1.39281,8.50657e-06
283,1.40062,8.50657e-06
284,1.39102,8.50657e-06
285,1.38687,8.50657e-06
286,1.39947,8.50657e-06
287,1.39092,8.50657e-06
288,1.38992,8.50657e-06
289,1.38762,8.50657e-06
290,1.389,8.50657e-06
291,1.38074,8.50657e-06
292,1.39597,8.50657e-06
293,1.38241,8.50657e-06
294,1.38957,8.50657e-06
295,1.38946,8.50657e-06
296,1.38533,8.50657e-06
297,1.38984,8.50657e-06
298,1.38567,8.50657e-06
299,1.38588,8.50657e-06
300,1.39063,8.50657e-06
301,1.39022,8.50657e-06
302,1.39201,8.50657e-06
303,1.38744,8.50657e-06
304,1.39149,8.50657e-06
305,1.39092,8.50657e-06
306,1.39006,8.50657e-06
307,1.38592,8.50657e-06
308,1.38591,8.50657e-06
309,1.38804,8.50657e-06
310,1.38538,8.50657e-06
311,1.38924,8.50657e-06
312,1.38741,8.50657e-06
313,1.38224,8.50657e-06
314,1.39145,8.50657e-06
315,1.39063,8.50657e-06
316,1.39192,8.50657e-06
317,1.3835,8.50657e-06
318,1.38272,8.50657e-06
319,1.38982,8.50657e-06
320,1.39021,8.50657e-06
321,1.39029,8.50657e-06
322,1.38779,8.50657e-06
323,1.38576,8.50657e-06
324,1.38766,8.50657e-06
325,1.38785,8.50657e-06
326,1.38415,8.50657e-06
327,1.3872,8.50657e-06
328,1.38492,8.50657e-06
329,1.38827,8.50657e-06
330,1.39074,8.50657e-06
331,1.38588,8.50657e-06
332,1.38226,8.50657e-06
333,1.38453,8.50657e-06
334,1.38675,8.50657e-06
335,1.3875,8.50657e-06
336,1.38226,8.50657e-06
337,1.38313,8.50657e-06
338,1.39034,8.50657e-06
339,1.38647,8.50657e-06
340,1.38672,8.50657e-06
341,1.38731,8.50657e-06
342,1.38259,8.50657e-06
343,1.38637,8.50657e-06
344,1.3884,8.50657e-06
345,1.38955,8.50657e-06
346,1.38944,8.50657e-06
347,1.38586,8.50657e-06
348,1.38584,8.50657e-06
349,1.3874,8.50657e-06
350,1.38771,8.50657e-06
351,1.38963,8.50657e-06
352,1.38391,8.50657e-06
353,1.38955,8.50657e-06
354,1.38708,8.50657e-06
355,1.38815,8.50657e-06
356,1.38604,8.50657e-06
357,1.38648,8.50657e-06
358,1.38184,8.50657e-06
359,1.38115,8.50657e-06
360,1.38098,8.50657e-06
361,1.38689,8.50657e-06
362,1.387,8.50657e-06
363,1.38593,8.50657e-06
364,1.38561,8.50657e-06
365,1.38211,8.50657e-06
366,1.38402,8.50657e-06
367,1.38351,8.50657e-06
368,1.39134,8.50657e-06
369,1.38483,8.50657e-06
370,1.38625,8.50657e-06
371,1.38615,8.50657e-06
372,1.38733,8.50657e-06
373,1.38878,8.50657e-06
374,1.38876,8.50657e-06
375,1.38652,8.50657e-06
376,1.38698,8.50657e-06
377,1.38617,8.50657e-06
